code_club,nom_club,valeur,penalite
2403,UNION SPORTIVE NEUVICOISE DE CANOE KAYAK,491.5,0
1911,HAUTE CORREZE KAYAK CLUB,553.0,0
8802,AS GERARDMER CANOE KAYAK,612.25,0
9202,BAC CK SEVRES ISSY,644.75,0
6803,C.K. APACH COLMAR,664.0,0
6701,STRASBOURG EAUX VIVES,667.5,0
2415,A.L. MARSAC SUR L'ISLE,669.5,0
2412,CASTELNAUD EN PERIGORD KC,718.0,0
2417,ALP GNP PERIGUEUX,926.0,0
8604,CANOE KAYAK VIVONNE LES PAGAYOUS,1024.5,0
6102,PL ARGENTAN CANOE KAYAK,1052.5,0
3501,KAYAK CLUB PONT REAN,1080.75,0
8606,VALLEE VONNE CK,1118.5,0
0211,C.K. PLEIN AIR DE CHAUNY,1141.25,0
2206,LA ROCHE DERRIEN CANOE KAYAK,1181.25,0
8501,CANOE KAYAK FONTENAY LE COMTE,1233.5,0
2214,C.K.C PLANCOET,1294.75,0
7705,TORCY CANOE KAYAK,1500.25,1000
3318,BOMMES NAUTIQUE CK,1546.5,1000
9404,JOINVILLE EAU VIVE,1646.5,1000
1306,MARSEILLE MAZARGUES CK,1747.0,1000
3105,VENERQUE EAUX VIVES,1896.25,1000
4421,NANTES ATLANTIQUE CANOE KAYAK,1902.5,1000
2410,GALO PORT SAINTE FOY,1970.25,1000
3311,CK CLUB LE TEICH,2166.0,1000
2711,VAL DE REUIL PAGAIE PASSION,2262.75,0
1962,ARGENTAT DORDOGNE CANOE-KAYAK,2381.0,0
8010,CK CLUB DE HAM,2385.0,0
5109,SILLERY CHAMPAGNE C.K.,2492.0,1000
5302,CK LAVAL,2601.25,1000
0108,CKC VALLEE DE L'AIN,3115.5,2000
1712,CLUB NAUTIQUE ROCHEFORTAIS,3144.25,2000
3804,CLUB CK VIENNE,3906.25,3000
8614,CHAUVIGNY VALDIVIENNE CK,4134.25,2000
0204,A.S.C.R. RIBEMONT,4175.75,3000
9407,RED STAR CLUB CHAMPIGNY,4268.0,3000
7206,U.S.F. CK LA FLECHE,4400.75,3000
7209,CK CLUB FERTOIS,4474.25,3000
4922,CANOE KAYAK DES PONTS DE CE,4497.5,2000
3309,CK SPORT LIBOURNE,4776.25,3000
4705,U.S. TONNEINS C.K.,5552.25,5000
2712,CK VAL DE RISLE,5583.5,2000
6309,CLERMONT COMMUNAUTE CANOE KAYAK,5589.75,4000
4409,GETIGNE CK,5727.25,3000
4566,PAGAIE ORLEANS METROPOLE,5742.25,4000
6705,BRUCHE SPORT PASSION MOLSHEIM,5813.5,4000
1604,COGNAC CANOE KAYAK,5930.75,5000
0703,CK TAIN TOURNON,6277.25,6000
4713,CANOE KAYAK CLUB VALLEE DU DROPT,6539.25,5000
3704,C.O.C.C.K. CHINON,7077.5,6000
7203,CK CLUB DU MANS,7209.5,6000
1611,CANOE KAYAK AUBETERRE,7307.5,6000
5806,U.C.S. CK COSNE SUR LOIRE CLUB MARCEL RENAUD,7361.25,7000
3812,GRENOBLE ALPES CK,7417.75,7000
1612,ANGOULEME CK,7522.0,7000
5301,CK AMBRIERES,7626.25,6000
0205,THIERACHE SPORT NATURE,8386.75,8000
3703,VAL DE L'INDRE CK,8529.0,8000
0310,CK VALLEE DE MONTLUCON,8741.0,8000
7903,CK NIORTAIS,9182.0,9000
0203,ST QUENTIN CK,9407.0,9000
2912,LES ALLIGATORS,9419.5,9000
5102,C.K. DORMANS EAUX LIBRES,9528.25,9000
7211,FOYER RURAL DES ALPES MANCELLES,9632.0,9000
0213,OMOIS CK,9833.75,9000
4921,ENTENTE SPORTIVE ANJOU CK,10015.25,10000
5807,UNION SPORTIVE CHARITOISE,10075.5,10000
0809,RETHEL CHATEAU CK,10198.0,10000
3310,E.N.B.C.K. BORDEAUX,10224.5,10000
2514,C.K. AUDINCOURTOIS,10264.5,10000
2301,CLUB CK AUBUSSON,10273.5,10000
8602,CK CLUB POITEVIN,10280.0,10000
6720,KAYAKISTES ET MARCHEURS DE DETTWILLER,10922.25,9000
8404,CLUB CK L'ISLOIS,11000.0,11000
8402,JEUNE CK AVIGNONNAIS,11003.5,11000
3701,CK CLUB DE TOURS,11026.25,11000
8612,MOUSSAC CK,11027.75,11000
2502,LA GAULOISE CK MONTBELIARD,11036.5,11000
0705,EYRIEUX CK,11056.25,11000
5705,C.C.K. SARREGUEMINES,11068.5,11000
6411,PAU CANOE-KAYAK CLUB UNIVERSITAIRE,11072.25,11000
6501,STADOCESTE TARBAIS C.K.,11074.75,11000
5609,CLUB NAUTIQUE DE BAUD,11097.25,11000
1503,ASS. DE LA VALLEE D'OLT,11100.0,11000
1320,FOS CK,11102.0,11000
5710,MONTIGNY SPORT NATURE,11107.75,11000
7411,CK CLUB SEVRIER,11115.25,11000
1620,TARDOIRE CK,11128.25,11000
8705,Aixe Canoe Kayak,11178.0,11000
7902,SAINT MAIXENT CK,11207.0,11000
0116,TOURING CK MONTMERLE 3 RIVIERES,11217.5,11000
6414,U.S.C. NAY CK,11236.0,11000
1816,CHATEAUNEUF PAGAIE AVENTURE,11257.0,11000
1705,Kayak Club Angerien,11313.75,11000
2708,CLUB SPORTIF BEAUMONTAIS CK,11320.5,11000
0163,BUGEY RHONE CK,11570.75,11000
