Embarcation,Age,Prenom,Nom,valeur,Type,code_club
K1H,U18,JULIEN,VAREY,117.25,Jeune,0108
K1D,U18,Capucine,CAVROIS,123.25,Jeune,0108
C1D,U18,Capucine,CAVROIS,185.0,CD,0108
K1H,M22,ETIENNE,WICHE,17.75,K1H,0108
K1D,M22,PHENICIA,DUPRAS,5.75,K1D,0108
K1H,U21,Robin,CAVROIS,50.0,Top 10,0108
K1H,U18,JULIEN,VAREY,117.25,Top 10,0108
K1D,U18,Capucine,CAVROIS,123.25,Top 10,0108
K1H,U18,Lenni,LAMBERT,172.5,Top 10,0108
K1H,U18,EVANN,BROSSE,203.5,Top 10,0108
K1H,,EVANN,BROSSE,203.5,,0108
C1H,M2,David,MONNET,217.5,C1H,0116
K1H,M1,NICOLAS,VATTAN,570.75,K1H,0163
K1H,U18,Basile,GOURLIN,82.0,Jeune,0203
K1H,U18,Basile,GOURLIN,82.0,K1H,0203
K1H,M2,THOMAS,GOURLIN,243.0,Top 10,0203
K1D,U18,Clara,NORGUET,120.75,Jeune,0204
C1D,U18,Clara,NORGUET,159.25,Jeune,0204
C1D,U18,Clara,NORGUET,159.25,CD,0204
C2H,M,David/FABRICE,SOVEAUX/BETHUNE,36.0,C2,0204
K1H,M2,FABRICE,BETHUNE,62.0,K1H,0204
K1D,U18,Clara,NORGUET,120.75,K1D,0204
C1H,M2,David,SOVEAUX,123.5,C1H,0204
K1D,M,LAURENCE,BIDAUX,150.0,Top 10,0204
C2M,,David/LAURENCE,SOVEAUX/BIDAUX,244.25,Top 10,0204
C2H,,THIBAUT/PAUL,COLLIGNON/BORNET,82.0,C2,0205
K1H,M22,THIBAUT,COLLIGNON,27.0,K1H,0205
K1H,M2,JEROME,LAVENANT,99.0,Top 10,0205
K1H,M3,LAURENT,KARMUSIK,178.75,Top 10,0205
K1H,U18,Louis,BELTON,131.5,Jeune,0211
K1D,U15,Zoe,BELTON,142.75,Jeune,0211
C1D,,CAMILLE,TENAILLON,155.25,CD,0211
C2H,M,VINCENT/DAVID,FERREIRA/BELTON,66.25,C2,0211
K1H,M22,FLORIAN,CRETTE,76.25,K1H,0211
K1D,M22,CAMILLE,TENAILLON,32.25,K1D,0211
C1H,M1,QUENTIN,MOREAUX,22.5,C1H,0211
C1H,M22,Theo,GALET,87.0,Top 10,0211
K1H,M2,DAVID,BELTON,89.5,Top 10,0211
C2M,,JULIETTE/QUENTIN,BLONDEAU/MOREAUX,101.5,Top 10,0211
K1H,M2,VINCENT,FERREIRA,114.75,Top 10,0211
K1H,M1,QUENTIN,MOREAUX,121.75,Top 10,0211
K1H,U18,Louis,BELTON,131.5,,0211
K1D,U15,Zoe,BELTON,142.75,,0211
C1H,M22,FLORIAN,CRETTE,169.5,,0211
K1H,U21,MAXENCE,DEMILLY,176.0,,0211
K1H,U21,Clement,LEMOINE,186.5,,0211
K1D,U21,Chloe,CORBET,193.5,,0211
K1H,M3,CHRISTIAN,DESCATOIRE,197.75,,0211
