Nom,Prenom,Code_bateau,valeur,n_courses,Age,Embarcation,Club
FIEVEZ,JULIE,C1D114495,161.25,4,,C1D,9404 - JOINVILLE EAU VIVE
HAAB,Claire,C1D118638,132.0,1,,C1D,8802 - AS GERARDMER CK
BLONDEAU,JULIETTE,C1D118805,195.33,3,,C1D,0211 - C.K. PLEIN AIR DE CHAUNY
LE CORVAISIER,CHARLENE,C1D124411,131.0,4,,C1D,8802 - AS GERARDMER CK
MOLENE,SANDRINE SARAH,C1D178040,89.75,4,,C1D,2412 - CASTELNAUD EN PERIGORD KC
GREHAN,CECILE,C1D180228,44.5,4,,C1D,1911 - HAUTE CORREZE KAYAK CLUB
DURAND,MANON,C1D189577,110.0,1,,C1D,5102 - C.K. DORMANS EAUX LIBRES
LOHEAC,MARION,C1D201412,70.75,4,,C1D,9202 - BAC CK SEVRES ISSY
HUSSON,COLINE,C1D220792,165.5,2,,C1D,8802 - AS GERARDMER CK
GAUBERT,ELSA,C1D224719,0.0,4,,C1D,3311 - CK CLUB LE TEICH
GAUTRELET,LISON,C1D252921,189.75,4,,C1D,2712 - CK VAL DE RISLE
FONTAINE,LAURA,C1D264765,2.5,4,,C1D,6803 - C.K. APACH COLMAR
MORIN - SÉROT,ELODIE,C1D266929,185.0,4,,C1D,3501 - KAYAK CLUB PONT REAN
BEZIAT,MARGOT,C1D280251,8.5,4,,C1D,3105 - VENERQUE EAUX VIVES
KOUBAITI,Nora,C1D280682,116.75,4,,C1D,8606 - VALLEE VONNE CK
TENAILLON,CAMILLE,C1D290484,199.0,4,,C1D,0211 - C.K. PLEIN AIR DE CHAUNY
VITALI-GUILBERT,Eve,C1D290601,0.25,4,,C1D,0703 - CK TAIN TOURNON
PESCE-ROUE,Nina,C1D298684,243.0,3,,C1D,9407 - RED STAR CLUB CHAMPIGNY
BARBARIN,Laly,C1D300201,162.75,4,U18,C1D,2412 - CASTELNAUD EN PERIGORD KC
GEORGEON,CAPUCINE,C1D304517,323.5,2,U18,C1D,1306 - MARSEILLE MAZARGUES CK
SAUVAGNAC,EMMELYNE,C1D310368,151.0,4,,C1D,8404 - CLUB CK L'ISLOIS
DEMURU,LAURA,C1D311621,192.5,2,,C1D,7703 - CLUB SPORTIF DE MEAUX
ROULAND,Marine,C1D323482,202.75,4,U18,C1D,4421 - NANTES ATLANTIQUE CK
SADELLI,Lisa,C1D325102,206.25,4,,C1D,1306 - MARSEILLE MAZARGUES CK
ROUSSON,CAMILLE,C1D325265,191.0,2,,C1D,9404 - JOINVILLE EAU VIVE
MALINGE,ZAURA,C1D325560,65.25,4,,C1D,8614 - CHAUVIGNY VALDIVIENNE CK
COURRECH DU PONT,Adelie,C1D325827,140.0,1,U18,C1D,9407 - RED STAR CLUB CHAMPIGNY
BEAUDUCEL,Angeline,C1D327065,106.75,4,U18,C1D,2214 - C.K.C PLANCOET
BIDAULT,Yaelle,C1D327067,67.75,4,U18,C1D,2214 - C.K.C PLANCOET
PEREZ,Judith,C1D328560,62.5,4,U18,C1D,3318 - BOMMES NAUTIQUE CK
DIDIER,Leonie,C1D331739,123.5,4,U18,C1D,8802 - AS GERARDMER CK
ROUSSEAU,PRUNE,C1D331911,228.75,4,U18,C1D,8010 - CK CLUB DE HAM
PENOT,Elena,C1D339684,244.5,4,U18,C1D,8604 - CK VIVONNE LES PAGAYOUS
MARY,ZOE,C1D342115,131.25,4,U18,C1D,2403 - UNION SPORTIVE NEUVICOISE DE CK
LHOTELIER,Caroline,C1D348045,286.75,4,,C1D,2410 - GALO PORT SAINTE FOY
HUIBAN-DESCOFFRE,CAROLE,C1D351422,92.75,4,U18,C1D,9202 - BAC CK SEVRES ISSY
BELHADDAD,Lina,C1D352369,373.33,3,U18,C1D,9407 - RED STAR CLUB CHAMPIGNY
TAPPERO,Melyne,C1D352804,348.0,3,U15,C1D,8404 - CLUB CK L'ISLOIS
NORGUET,CLARA,C1D354208,161.0,4,U18,C1D,0204 - A.S.C.R. RIBEMONT
FREMONT,ALDEE,C1D355499,239.5,2,,C1D,6102 - PL ARGENTAN CANOE KAYAK
SANTAMARIA,Mila,C1D359441,323.5,4,U15,C1D,3703 - VAL DE L'INDRE CK
WINIGER,LEONIE,C1D371025,475.25,4,U18,C1D,2415 - A.L. MARSAC SUR L'ISLE
LUTINIER,Elea,C1D375814,168.25,4,U15,C1D,1612 - ANGOULEME CK
DENIS,Maud,C1D378129,499.5,4,,C1D,4566 - PAGAIE ORLEANS METROPOLE
ROINOT,Emma,C1D379943,181.5,4,U18,C1D,6102 - PL ARGENTAN CANOE KAYAK
LLORET LINARES,Luna,C1D383815,219.0,3,U18,C1D,9404 - JOINVILLE EAU VIVE
VALETTE,Isaure,C1D383919,127.0,4,U15,C1D,2412 - CASTELNAUD EN PERIGORD KC
CAVROIS,Capucine,C1D387183,150.5,4,U18,C1D,0108 - CKC VALLEE DE L'AIN
AMIR-TAHMASSEB,ELEONORE NILOUFAR,C1D391277,178.0,4,U18,C1D,6701 - STRASBOURG EAUX VIVES
FRANCOIS,Zoe,C1D399598,222.0,1,U18,C1D,3309 - CK SPORT LIBOURNE
IBORRA MOLINS-DENIS,Elisa,C1D405700,296.75,4,U15,C1D,2415 - A.L. MARSAC SUR L'ISLE
FAÏNA,Capucine,C1D415804,307.0,1,U15,C1D,3309 - CK SPORT LIBOURNE
NOIROT,Enola,C1D416690,218.0,1,U15,C1D,3318 - BOMMES NAUTIQUE CK
DUQUERROY,Noellie,C1D418207,446.5,4,U18,C1D,8604 - CK VIVONNE LES PAGAYOUS
GARIN BOUDEY,Hanae,C1D421187,1255.0,1,U15,C1D,1667 - CHATEAUNEUF VIBRAC CANOE KAYAK
PIGNON,Mae,C1D421561,220.25,4,U18,C1D,8501 - CK FONTENAY LE COMTE
CLAVREUL-ZERBIB,Rachel,C1D421941,522.5,2,U15,C1D,4405 - CK CLISSON
ROBERT,Melyne,C1D423135,205.75,4,U15,C1D,8802 - AS GERARDMER CK
FOUROTTE,Camille,C1D423631,58.0,4,U18,C1D,5807 - UNION SPORTIVE CHARITOISE
DUPUY,Agathe,C1D423632,130.75,4,U18,C1D,2417 - ALP GNP PERIGUEUX
ALAVOINE,Louna,C1D430215,226.25,4,U18,C1D,2417 - ALP GNP PERIGUEUX
PEREIRA,Elisa,C1D431749,4957.0,2,U15,C1D,3309 - CK SPORT LIBOURNE
MAGNIEZ,Rachel,C1D433936,177.75,4,U18,C1D,3105 - VENERQUE EAUX VIVES
PROCESSE,Elina,C1D433941,187.0,2,,C1D,3105 - VENERQUE EAUX VIVES
BECQUET,Brownichka,C1D441022,264.75,4,U18,C1D,8010 - CK CLUB DE HAM
DIDIER,Coline,C1D447334,287.0,1,U15,C1D,6701 - STRASBOURG EAUX VIVES
MUR FORAT,Junon,C1D453445,410.0,1,U15,C1D,5806 - U.C.S. CK COSNE SUR LOIRE CLUB MARCEL RENAUD
SAMMUT,Ninon,C1D453502,196.0,4,U18,C1D,2403 - UNION SPORTIVE NEUVICOISE DE CK
TCHAO,Sarah,C1D461277,69.75,4,U18,C1D,2403 - UNION SPORTIVE NEUVICOISE DE CK
